2020-06-13 06:48:20.476  INFO 9064 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8012
2020-06-13 06:48:22.001  INFO 9064 --- [main] c.c.c.ConfigServicePropertySourceLocator : Located environment: name=configserver, profiles=[default], label=null, version=98b8fea97531c0436e8ff5c39248bca08d27ce57, state=null
2020-06-13 06:48:22.002  INFO 9064 --- [main] b.c.PropertySourceBootstrapConfiguration : Located property source: [BootstrapPropertySource {name='bootstrapProperties-configClient'}, BootstrapPropertySource {name='bootstrapProperties-https://github.com/pratyushranjansahu/springdemo/application.properties'}]
2020-06-13 06:48:22.032  INFO 9064 --- [main] c.p.a.AlbumserviceApplication            : No active profile set, falling back to default profiles: default
2020-06-13 06:48:22.732  INFO 9064 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=f4d859fa-7580-33eb-8992-a4fd4ba94351
2020-06-13 06:48:23.039  INFO 9064 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 0 (http)
2020-06-13 06:48:23.046  INFO 9064 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-06-13 06:48:23.047  INFO 9064 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-06-13 06:48:23.129  INFO 9064 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-06-13 06:48:23.129  INFO 9064 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1083 ms
2020-06-13 06:48:23.179  WARN 9064 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-06-13 06:48:23.180  INFO 9064 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-06-13 06:48:23.184  WARN 9064 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-06-13 06:48:23.184  INFO 9064 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
